date,period,year,quarter,series,region,property_type,pct_1m,pct_12m,pct_3m,index
2006-12-01,2006-12,2006,2006Q4,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.2,12.7,2.0,178.4
2006-12-01,2006-12,2006,2006Q4,National excluding Dublin - apartments,National excluding Dublin,Apartments,0.3,9.4,1.5,233.1
2006-12-01,2006-12,2006,2006Q4,National excluding Dublin - houses,National excluding Dublin,Houses,1.2,13.0,2.1,175.4
2007-01-01,2007-01,2007,2007Q1,Dublin - all residential properties,Dublin,All residential,0.2,16.4,-0.1,159.2
2007-01-01,2007-01,2007,2007Q1,Dublin - apartments,Dublin,Apartments,1.1,14.7,2.1,183.4
2007-01-01,2007-01,2007,2007Q1,Dublin - houses,Dublin,Houses,-0.3,16.8,-0.8,153.0
2007-01-01,2007-01,2007,2007Q1,National - all residential properties,National,All residential,0.9,14.6,1.6,162.0
2007-01-01,2007-01,2007,2007Q1,National - apartments,National,Apartments,1.0,13.8,2.2,190.9
2007-01-01,2007-01,2007,2007Q1,National - houses,National,Houses,0.8,14.9,1.6,157.7
2007-01-01,2007-01,2007,2007Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.3,13.6,2.6,180.6
2007-01-01,2007-01,2007,2007Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,1.1,8.9,0.9,235.6
2007-01-01,2007-01,2007,2007Q1,National excluding Dublin - houses,National excluding Dublin,Houses,1.3,13.9,2.8,177.6
2007-02-01,2007-02,2007,2007Q1,Dublin - all residential properties,Dublin,All residential,0.5,16.0,0.8,160.0
2007-02-01,2007-02,2007,2007Q1,Dublin - apartments,Dublin,Apartments,0.9,15.2,2.6,185.1
2007-02-01,2007-02,2007,2007Q1,Dublin - houses,Dublin,Houses,0.3,16.0,0.0,153.4
2007-02-01,2007-02,2007,2007Q1,National - all residential properties,National,All residential,0.5,14.8,2.1,162.7
2007-02-01,2007-02,2007,2007Q1,National - apartments,National,Apartments,0.7,13.8,2.4,192.3
2007-02-01,2007-02,2007,2007Q1,National - houses,National,Houses,0.4,15.0,2.0,158.3
2007-02-01,2007-02,2007,2007Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.5,14.2,2.9,181.4
2007-02-01,2007-02,2007,2007Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,0.2,9.2,1.5,236.1
2007-02-01,2007-02,2007,2007Q1,National excluding Dublin - houses,National excluding Dublin,Houses,0.5,14.5,3.0,178.5
2007-03-01,2007-03,2007,2007Q1,Dublin - all residential properties,Dublin,All residential,-0.9,14.2,-0.3,158.5
2007-03-01,2007-03,2007,2007Q1,Dublin - apartments,Dublin,Apartments,-1.8,12.6,0.2,181.7
2007-03-01,2007-03,2007,2007Q1,Dublin - houses,Dublin,Houses,-0.4,14.8,-0.4,152.8
2007-03-01,2007-03,2007,2007Q1,National - all residential properties,National,All residential,0.1,14.4,1.5,162.9
2007-03-01,2007-03,2007,2007Q1,National - apartments,National,Apartments,-0.7,12.3,1.1,191.0
2007-03-01,2007-03,2007,2007Q1,National - houses,National,Houses,0.4,14.8,1.6,158.9
2007-03-01,2007-03,2007,2007Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.7,14.4,2.5,182.7
2007-03-01,2007-03,2007,2007Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,0.3,9.6,1.6,236.8
2007-03-01,2007-03,2007,2007Q1,National excluding Dublin - houses,National excluding Dublin,Houses,0.8,14.7,2.5,179.8
