date,period,series,region,property_type,index,pct_1m,pct_3m,pct_12m
2007-02-01,2007-02,National - houses,National,Houses,158.3,0.4,2.0,15.0
2007-02-01,2007-02,National excluding Dublin - all residential properties,National excluding Dublin,All residential,181.4,0.5,2.9,14.2
2007-02-01,2007-02,National excluding Dublin - apartments,National excluding Dublin,Apartments,236.1,0.2,1.5,9.2
2007-02-01,2007-02,National excluding Dublin - houses,National excluding Dublin,Houses,178.5,0.5,3.0,14.5
2007-03-01,2007-03,Dublin - all residential properties,Dublin,All residential,158.5,-0.9,-0.3,14.2
2007-03-01,2007-03,Dublin - apartments,Dublin,Apartments,181.7,-1.8,0.2,12.6
2007-03-01,2007-03,Dublin - houses,Dublin,Houses,152.8,-0.4,-0.4,14.8
2007-03-01,2007-03,National - all residential properties,National,All residential,162.9,0.1,1.5,14.4
2007-03-01,2007-03,National - apartments,National,Apartments,191.0,-0.7,1.1,12.3
2007-03-01,2007-03,National - houses,National,Houses,158.9,0.4,1.6,14.8
2007-03-01,2007-03,National excluding Dublin - all residential properties,National excluding Dublin,All residential,182.7,0.7,2.5,14.4
2007-03-01,2007-03,National excluding Dublin - apartments,National excluding Dublin,Apartments,236.8,0.3,1.6,9.6
2007-03-01,2007-03,National excluding Dublin - houses,National excluding Dublin,Houses,179.8,0.8,2.5,14.7
2007-04-01,2007-04,Dublin - all residential properties,Dublin,All residential,158.8,0.2,-0.2,12.4
2007-04-01,2007-04,Dublin - apartments,Dublin,Apartments,178.0,-2.1,-2.9,8.0
2007-04-01,2007-04,Dublin - houses,Dublin,Houses,154.7,1.2,1.1,14.4
2007-04-01,2007-04,National - all residential properties,National,All residential,163.6,0.4,1.0,13.1
2007-04-01,2007-04,National - apartments,National,Apartments,189.4,-0.8,-0.8,9.7
2007-04-01,2007-04,National - houses,National,Houses,160.0,0.7,1.5,13.9
2007-04-01,2007-04,National excluding Dublin - all residential properties,National excluding Dublin,All residential,183.6,0.5,1.7,13.5
2007-04-01,2007-04,National excluding Dublin - apartments,National excluding Dublin,Apartments,238.6,0.7,1.2,9.8
2007-04-01,2007-04,National excluding Dublin - houses,National excluding Dublin,Houses,180.6,0.4,1.7,13.7
2007-05-01,2007-05,Dublin - all residential properties,Dublin,All residential,157.2,-1.0,-1.7,8.4
2007-05-01,2007-05,Dublin - apartments,Dublin,Apartments,179.6,0.9,-2.9,7.3
2007-05-01,2007-05,Dublin - houses,Dublin,Houses,151.7,-1.9,-1.1,9.1
2007-05-01,2007-05,National - all residential properties,National,All residential,163.1,-0.3,0.2,10.5
2007-05-01,2007-05,National - apartments,National,Apartments,190.3,0.4,-1.1,8.7
2007-05-01,2007-05,National - houses,National,Houses,159.2,-0.6,0.5,11.0
2007-05-01,2007-05,National excluding Dublin - all residential properties,National excluding Dublin,All residential,183.7,0.1,1.3,11.6
2007-05-01,2007-05,National excluding Dublin - apartments,National excluding Dublin,Apartments,239.4,0.3,1.4,9.2
2007-05-01,2007-05,National excluding Dublin - houses,National excluding Dublin,Houses,180.7,0.0,1.3,11.8
2007-06-01,2007-06,Dublin - all residential properties,Dublin,All residential,157.6,0.2,-0.5,6.0
2007-06-01,2007-06,Dublin - apartments,Dublin,Apartments,178.6,-0.6,-1.7,5.2
2007-06-01,2007-06,Dublin - houses,Dublin,Houses,152.4,0.4,-0.3,6.4
2007-06-01,2007-06,National - all residential properties,National,All residential,162.7,-0.2,-0.1,8.3
2007-06-01,2007-06,National - apartments,National,Apartments,189.7,-0.3,-0.7,7.2
2007-06-01,2007-06,National - houses,National,Houses,158.8,-0.2,-0.1,8.6
2007-06-01,2007-06,National excluding Dublin - all residential properties,National excluding Dublin,All residential,182.9,-0.4,0.1,9.6
2007-06-01,2007-06,National excluding Dublin - apartments,National excluding Dublin,Apartments,240.3,0.4,1.5,9.1
2007-06-01,2007-06,National excluding Dublin - houses,National excluding Dublin,Houses,179.8,-0.5,0.0,9.6
2007-07-01,2007-07,Dublin - all residential properties,Dublin,All residential,158.5,0.6,-0.2,3.3
